ORF	IniProb	rand_mRNA
YBR049C	0.00135910715984216	8
YBR052C	0.00177342374497294	14
YBR053C	0.00198943967765957	3
YBR054W	0.00222307455822711	7
YBR055C	0.000480896780382218	3
YBR056W	0.00124598521359616	5
YBR057C	0.00115560801154677	2
YBR058C	0.000948083475756847	5
YBR058CA	0.00209941490886364	10
YBR059C	0.000713270616100646	7
YBR060C	0.000613704202467698	2
YBR061C	0.0015829759114544	5
YBR062C	0.00187522251024312	5
YBR065C	0.000626306317161724	3
YBR066C	0.00142241538364102	5
YBR067C	0.00443810083809934	14
YBR068C	0.000953044886536529	12
YBR069C	0.000735854822269382	16
YBR070C	0.000740095705395318	4
YBR071W	0.00191072659304606	4
YBR072W	0.00321198551158608	5
YBR073W	0.000512730698537891	4
YBR074W	0.000619972697816607	4
YBR077C	0.00148840141857344	7
YBR078W	0.00344893437180744	82
YBR079C	0.00152669229844646	27
YBR080C	0.00146732232311073	8
YBR081C	0.000573400190283379	3
YBR082C	0.00445255164703746	39
YBR083W	0.00103186802113522	2
YBR084W	0.000835609588892401	18
YBR085CA	0.00223103543084121	16
YBR085W	0.00162023674220375	3
YBR086C	0.000655377122529799	10
YBR087W	0.00107123858028111	2
YBR088C	0.0024517296561388	13
YBR091C	0.00122040123244505	6
YBR094W	0.00105469690809361	5
YBR095C	0.000923679634031492	5
YBR096W	0.00122306286340473	10
YBR097W	0.000380854325785517	3
YBR098W	0.000558996141746932	3
YBR101C	0.00149854295924108	9
YBR102C	0.000857463123521071	3
YBR103W	0.000739208636464279	4
YBR104W	0.0012060632191833	6
YBR105C	0.000800592492271077	3
YBR106W	0.00231849566561291	78
YBR107C	0.000398742980341117	4
YBR108W	0.000907128833647269	4
YBR109C	0.00267220173208315	32
YBR110W	0.000771302753955499	1
YBR111C	0.00182426111639409	9
YBR111WA	0.00136553969306281	8
YBR114W	0.000532844151812683	6
YBR115C	0.00120461787103917	13
YBR119W	0.000968171108085291	2
YBR120C	0.00185217743888698	1
YBR121C	0.00190727934631587	52
YBR122C	0.00150605613609698	5
YBR123C	0.00101217987458148	3
YBR125C	0.000805835195831239	2
YBR126C	0.00196596410445898	12
YBR127C	0.00206592112901747	57
YBR128C	0.000532296201006499	1
YBR129C	0.000657480871775557	3
YBR130C	0.00079978638313334	9
YBR131W	0.00064161888616683	1
YBR132C	0.000724446003927375	4
YBR133C	0.000345762454580739	5
YBR135W	0.0016715123098387	7
YBR136W	0.0002009931450318	3
YBR137W	0.00234255272401989	4
YBR138C	0.000992537231997047	4
YBR139W	0.00124954905198917	7
YBR140C	0.000245172545307505	3
YBR141C	0.00114651737123397	1
YBR142W	0.000967259914414878	3
YBR143C	0.00198988294613991	38
YBR145W	0.00141133275403983	2
YBR146W	0.00102197167162825	4
YBR148W	0.000755761614646648	1
YBR149W	0.00185492172518341	15
YBR151W	0.000942171899351504	5
YBR152W	0.00107136235723184	2
YBR153W	0.000556001003614945	3
YBR154C	0.00268547606723122	11
YBR155W	0.00175524090371721	5
YBR156C	0.000599353118082428	2
YBR157C	0.000831115386518938	6
YBR158W	0.000370037771874685	21
YBR159W	0.00144336030733056	22
YBR160W	0.00191553964203317	3
YBR161W	0.00088699171861501	4
YBR162C	0.00200725105561771	28
YBR162WA	0.00205328495219584	14
YBR163W	0.000202496534913289	5
YBR164C	0.00210196985465707	10
YBR165W	0.00125101221850292	1
YBR166C	0.00148719381747169	4
YBR167C	0.00168290007243306	2
YBR168W	0.000375834949711703	2
YBR169C	0.00118584793968001	1
YBR170C	0.00109835848016033	6
YBR171W	0.0015410036271123	5
YBR172C	0.00105386230351348	5
YBR173C	0.00294901663329448	11
YBR175W	0.000703038790345829	2
YBR176W	0.00142348462316194	1
YBR177C	0.00127883347689984	8
YBR179C	0.00076685940090768	1
YBR182C	0.000700049271001992	1
YBR183W	0.000563965052807967	3
YBR184W	0.00079106986920462	1
YBR185C	0.00135427471370866	2
YBR187W	0.00120080317249383	6
YBR188C	0.00161725640997941	2
YBR189W	0.00456468219326062	272
YBR192W	0.0010536998398485	3
YBR193C	0.0010837648336534	5
YBR194W	0.000931043790687608	2
YBR195C	0.000973046508577686	3
YBR196C	0.00318591062111161	140
YBR197C	0.000773185282093555	4
YBR198C	0.000989532214544181	3
YBR199W	0.000853277289964373	10
YBR200W	0.000899311905067335	4
YBR201W	0.000951667989688617	4
YBR202W	0.000934255157303663	9
YBR203W	0.000275122924435401	1
YBR204C	0.000800661241426259	4
YBR205W	0.0010538489645805	9
YBR207W	0.000967491757525352	8
YBR208C	0.00055741760985959	4
YBR210W	0.00102075961592126	6
YBR211C	0.00099283624377956	2
YBR212W	0.0011092640964224	3
YBR213W	0.00126618809622396	1
YBR214W	0.00144791745977906	3
YBR215W	0.001236805061058	3
YBR216C	0.000791176175602943	4
YBR217W	0.000501071552633084	3
YBR220C	0.000594821498252607	4
YBR221C	0.00194307902802283	44
YBR222C	0.00130561049019684	5
YBR223C	0.000453242873170501	1
YBR225W	0.000583908781345739	1
YBR227C	0.00127173703351753	3
YBR228W	0.000450486585565789	3
YBR229C	0.000779797356390383	7
YBR230C	0.00196774089703294	6
YBR230WA	0.00246568250415865	4
YBR231C	0.00117627631075961	3
YBR233W	0.00163905274731546	3
YBR233WA	0.00121029280884299	7
YBR234C	0.00162116986380728	13
YBR235W	0.000360192778852055	2
YBR236C	0.00105770794453896	6
YBR237W	0.000363688007205018	3
YBR238C	0.000791941398813707	5
YBR239C	0.000497456580155002	2
YBR241C	0.000851671886097015	2
YBR242W	0.00128520313429397	3
YBR243C	0.000904274771082928	4
YBR244W	0.00239276712426289	11
YBR245C	0.00113684652840783	7
YBR246W	0.000661519251881037	2
YBR247C	0.00163975757166712	4
YBR248C	0.00188386408501139	6
YBR249C	0.00289633721554627	32
YBR251W	0.00143203633887329	7
YBR252W	0.00215923924189413	15
YBR253W	0.000625090279096822	5
YBR254C	0.00126207678751185	5
YBR255CA	0.00129086952457213	1
YBR255W	0.000495981393745628	3
YBR256C	0.000853777353177881	7
