Gene	Num_of_events	Avg_initiation_time(sec)
1401	105	47.3699
1402	90	22.9758
1403	275	30.543
1404	5	482.447
1405	963	24.4455
1406	533	8.33303
1407	20	44.8747
1408	32	73.4806
1409	127	20.1305
1410	25	86.1434
1411	105	24.2536
1412	144	93.8133
1413	1	605.929
1414	220	37.176
1415	0	nan
1416	1426	11.255
1417	166	14.7427
1418	88	39.704
1419	288	17.2772
1420	2258	9.65611
1421	418	18.3359
1422	95	21.8974
1423	124	58.7297
1424	16	55.8679
1425	1325	4.90597
1426	29	71.0194
1427	16	214.602
1428	16	46.5879
1429	468	9.60703
1430	132	14.7148
1431	828	12.5274
1432	54	47.1629
1433	274	31.1585
1434	23	76.135
1435	3405	5.99517
1436	1132	3.09544
1437	5	110.575
1438	650	8.47066
1439	94	32.3422
1440	163	21.8384
1441	6	156.959
1442	399	17.4593
1443	160	28.7093
1444	83	12.2735
1445	14	103.72
1446	501	11.0292
1447	10	96.0098
1448	10	98.546
1449	10	335.958
1450	47	86.5164
1451	66	82.7708
1452	136	55.5783
1453	412	16.0794
1454	47	10.6784
1455	654	10.8287
1456	525	17.0615
1457	530	36.9121
1458	13500	2.74047
1459	650	14.5281
1460	20	107.497
1461	1009	7.94887
1462	10	322.864
1463	4	349.569
1464	122	27.7415
1465	299	26.0742
1466	67	95.0914
1467	28	112.607
1468	59	25.6979
1469	236	39.3643
1470	395	21.4167
1471	292	10.3564
1472	13	64.6496
1473	1567	15.5363
1474	10	43.3286
1475	21	43.6879
1476	1287	6.17727
1477	65	23.3877
1478	124	46.4352
1479	59	60.1981
1480	74	59.898
1481	17	60.9155
1482	1548	14.9084
1483	27	79.9299
1484	23	280.116
1485	4	394.837
1486	173	65.6435
1487	31	78.952
1488	177	44.4764
1489	24	116.28
1490	464	32.0966
1491	71	55.5564
1492	374	21.3034
1493	11	93.9012
1494	411	29.4956
1495	8	109.834
1496	11	104.613
1497	597	7.53542
1498	52	99.1813
1499	20	99.4488
1500	1715	3.78619
1501	301	9.80432
1502	20	83.9348
1503	3968	6.43144
1504	102	94.1725
1505	448	15.7083
1506	2831	4.4205
1507	114	51.9427
1508	19	181.505
1509	103	38.2551
1510	243	76.5787
1511	52	19.0898
1512	42	34.6431
