Gene	Avg_ribo_stall
489	0.0752406
490	0.0311688
491	0.33296
492	0.135024
493	0.271647
494	0.0235116
495	0.901611
496	0.024016
497	0.467926
498	0.0371036
499	0.196076
500	0.00333374
501	0.143962
502	0.0280707
503	0.182725
504	0.223738
505	0.684783
506	0
507	0.0867761
508	0.161813
509	0.0884848
510	0.269781
511	0.290826
512	1.15788
513	5.2501
514	0
515	0.240412
516	0.0410963
517	0.0390465
518	0.428711
519	0.116343
520	0.0759616
521	0.22179
522	0
523	0.315267
524	0.472806
525	0.213189
526	0.547582
527	0.257767
528	0.0818948
529	2.52038
530	0.143299
531	0.318872
532	2.29126
533	0.102278
534	3.64076
535	0.639788
536	0.370414
537	0.115271
538	0.139253
539	0.47342
540	0.173265
541	2.77256
542	0.116762
543	0.00997775
544	0.140982
545	1.21824
546	0.107419
547	0.198716
548	0.0317893
549	0.00440994
550	0.0695597
551	0.912193
552	0.0554407
553	0.163859
554	0.381606
555	0.00218716
556	0.30106
557	0.672001
558	0.386732
559	0.00663845
560	0.873231
561	0.15048
562	0.497997
563	0.00120213
564	9.97717
565	0.305681
566	0.225115
567	0.76276
568	0.0165403
569	0.266635
570	0.219034
571	0.0628597
572	0.474643
573	2.08679
574	0.509681
575	0
576	0.279023
577	0.83502
578	0.0163303
579	0.341035
580	5.24895
581	0.0421278
582	0.0971905
583	0.757752
584	0.0559754
585	3.31323
586	4.15129
587	0.705162
588	0.226942
589	0.033438
590	0.0578997
591	0.0261106
592	0.0732689
593	0.0549382
594	0.39471
595	0.0880517
596	1.49042
597	1.0123
598	0.035709
599	0.116341
600	1.63872
601	0.143743
602	0.302575
603	0.961933
604	0.0245794
605	0.0082156
606	0.102431
607	0.0996719
608	0.193572
609	0
610	0.338503
611	0.203525
612	0.502509
613	0.169792
614	0.117923
615	0.7608
616	0.0488853
617	0.132485
618	0.00650907
619	0.0350629
620	0.40963
621	0.0327684
622	1.14219
623	0.907886
624	5.71608
625	0.0428601
626	0.402904
627	0.0437323
628	3.05426
629	0.463404
630	0.194759
631	0.0562233
632	0.644424
633	0.0190913
634	0.23549
635	1.19538
636	0.242096
637	0.0283052
638	1.04715
639	0.111524
640	1.4533
641	0.133157
642	2.21766
643	0.737219
644	0.00112306
645	0.171647
646	1.27262
647	0
648	0.0330597
649	0.0649698
650	0.136652
651	0.0887484
652	2.83707
653	0.216735
654	0.787683
655	0.161396
656	0.264489
657	0.757974
658	0.0137748
659	2.03759
660	0.0318617
661	1.58452
662	0.210918
663	0.121976
664	0.124419
665	0.0902193
666	0.100858
667	0.437008
668	0.0134953
669	0.126511
670	0.160276
671	0.0910323
672	14.2334
673	0.0524696
674	0.239166
675	2.75949
676	0.243411
677	0
678	1.39648
679	0
680	0.328971
681	0.0103822
682	0.083907
683	0.454449
684	0.31454
685	0.153383
686	0.0241646
687	0.349348
688	0
689	0.115644
690	1.06796
691	0.0129117
692	0.0109996
693	0.641128
