Gene	Num_of_events	Avg_total_elong_time(sec)	Num_elng_stall	Num_chx_stall
631	35	72.493	0	0
632	492	26.9807	1	0
633	10	124.832	0	0
634	62	36.2137	0	0
635	235	242.61	5	0
636	77	117.792	0	0
637	28	53.1599	0	0
638	367	70.8369	0	0
639	48	66.3137	0	0
640	301	152.021	1	0
641	48	75.607	0	0
642	598	67.5192	2	0
643	157	106.23	0	0
644	11	163.202	0	0
645	96	64.0112	0	0
646	216	80.4699	0	0
647	2	147.61	0	0
648	38	68.1984	0	0
649	36	85.5599	0	0
650	505	14.1395	0	0
651	71	82.7565	0	0
652	518	70.6476	4	0
653	184	14.8865	0	0
654	211	75.1354	0	0
655	68	122.745	1	0
656	165	32.9248	0	0
657	281	31.0865	1	0
658	30	108.11	0	0
659	458	46.9621	2	0
660	23	87.9576	0	0
661	291	242.556	5	0
662	101	42.0629	0	0
663	59	84.3724	0	0
664	46	60.691	0	0
665	23	116.917	0	0
666	93	28.7136	0	0
667	121	72.243	0	0
668	18	50.2929	0	0
669	21	100.204	0	0
670	104	14.1953	1	0
671	37	59.8019	1	0
672	1885	130.504	11	0
673	51	77.554	1	0
674	74	138.65	1	0
675	2728	18.8305	3	0
676	181	50.5757	0	0
677	11	139.947	0	0
678	286	174.43	4	0
679	17	96.5732	0	0
680	139	41.8135	0	0
681	20	125.066	0	0
682	54	30.7479	0	0
683	209	40.2353	1	0
684	156	42.9493	1	0
685	41	99.2265	0	0
686	7	61.2763	0	0
687	200	48.0186	1	0
688	24	130.459	0	0
689	46	92.4884	0	0
690	1506	14.0826	1	0
691	22	54.3459	0	0
692	22	62.1271	0	0
693	715	27.6902	0	0
694	473	30.6317	2	0
695	73	150.339	0	0
696	37	73.3962	0	0
697	130	34.1345	0	0
698	302	21.9059	0	0
699	17	173.979	1	0
700	3	141.412	0	0
701	64	113.687	0	0
702	184	76.6251	2	0
703	504	57.9802	0	0
704	233	103.38	0	0
705	82	61.3535	0	0
706	5	185.602	0	0
707	550	3.7587	0	0
708	38	78.2366	0	0
709	16	117.422	0	0
710	275	21.8083	0	0
711	379	45.2051	0	0
712	114	59.9404	0	0
713	21	82.9864	0	0
714	31	159.712	0	0
715	187	21.8124	0	0
716	116	116.49	1	0
717	2626	18.9458	2	0
718	88	36.042	0	0
719	13	86.1606	0	0
720	23	74.4823	0	0
721	66	145.283	1	0
722	85	37.6768	0	0
723	19	77.7531	0	0
724	186	216.392	0	0
725	15	36.094	0	0
726	20	104.317	1	0
727	85	18.7222	0	0
728	54	166.174	0	0
729	281	64.2201	2	0
730	44	32.3825	0	0
731	35	54.091	0	0
732	47	33.7551	0	0
733	2221	48.0417	12	0
734	24	80.7723	0	0
735	43	158.847	0	0
736	56	149.917	0	0
737	13	81.0479	0	0
738	38	19.3605	0	0
739	1752	19.7489	7	0
740	3289	33.7185	5	0
741	12	127.623	0	0
742	449	46.5571	3	0
743	53	68.244	0	0
744	2200	58.6911	12	0
745	142	35.7994	0	0
746	55	37.6453	0	0
747	226	33.2883	0	0
748	119	20.336	0	0
749	135	86.6242	0	0
750	208	53.3537	0	0
751	42	100.14	1	0
752	35584	16.7088	14	0
753	142	51.7444	1	0
754	26	106.509	0	0
755	349	45.4064	0	0
756	205	59.1201	0	0
757	198	28.8955	0	0
758	41	88.9424	0	0
759	71	51.2781	0	0
760	124	22.1763	2	0
761	172	140.42	1	0
762	39	97.2623	0	0
763	276	74.8591	0	0
764	222	21.7378	0	0
765	24729	10.1218	1	0
766	10	56.4429	0	0
767	38	38.0381	0	0
768	23	33.7399	0	0
769	118	42.267	0	0
770	9	144.393	0	0
771	546	28.7851	1	0
772	61	79.4501	0	0
773	31	38.9727	0	0
774	186	121.864	0	0
775	17	45.5111	0	0
776	9	68.7969	0	0
777	20	34.8191	0	0
778	47	13.2406	0	0
779	148	19.8066	0	0
780	52	148.336	0	0
781	44	151.212	0	0
782	0	nan	0	0
783	186	34.2689	0	0
784	8	96.7369	0	0
785	2626	8.5092	1	0
786	143	45.9098	1	0
787	126	55.6308	0	0
788	99	139.687	0	0
789	26	47.6202	0	0
790	496	66.0977	1	0
791	342	24.4922	3	0
792	46	247.986	0	0
793	53	128.483	1	0
794	72	181.263	0	0
795	493	42.5336	3	0
796	212	23.4279	0	0
797	146	78.528	0	0
798	48	158.265	0	0
799	3	213.909	0	0
800	10	78.0699	0	0
801	60	107.946	0	0
802	27	118.525	0	0
803	70	116.233	0	0
804	61	94.3585	0	0
805	70	78.0609	0	0
806	104	66.131	0	0
807	212	18.4374	0	0
808	104	44.3475	0	0
809	158	84.6829	0	0
810	15	115.25	0	0
811	146	133.435	2	0
812	69	81.9419	1	0
813	125	34.1434	2	0
814	48	174.96	0	0
815	37	53.9116	0	0
816	40	66.0493	0	0
817	21	60.8006	0	0
818	183	213.923	1	0
819	30	191.659	0	0
820	603	81.6498	4	0
